SP	SP3055112169	SP 1 442 53 	SP0960017630	SP4180717139	SP8 7183  6 	SP6 7  75  8	SP671913610 	SP9089025596	SP9746508 31	SP 291214979	SP 77 7 7853	SP965 3902 0	SP77  231804	SP0024330203	SP4473411312	SP  4298 6  	SP 85356 19 	SP 15448328 	SP8947578506	SP509 5862 2
KO23 8073 09	-0.00303228858048	-0.181529480851	-0.222291906606	0.651612747022	-0.132631963154	-0.048061965595	-0.155487777591	-0.189493326241	-0.0119831231776	-0.219608412942	0.980194626517	0.00956564102238	-0.291810074101	-0.21484728739	0.909613161054	0.586044043856	0.957205925243	-0.165302426686	-0.255128391706	-0.0672409781662
KO56 03 1332	-0.13745794739	-0.163886632657	-0.13894994531	0.7206303732	-0.0800213654611	-0.207506955917	-0.102921188853	-0.194137814064	0.0609466110414	-0.0961526013006	0.937477513592	0.114346565651	-0.3198639126	-0.162656652296	0.917727379014	0.633113361612	0.96323476566	-0.207047016332	-0.228441731511	-0.209722027781
KO55 1286874	-0.227481637944	-0.151040242779	0.420441733671	-0.193360727756	-0.114329776727	-0.188348892261	-0.140961552622	-0.26407398983	-0.114677028588	-0.227992406639	-0.0947483200778	0.474283273727	-0.158671324647	0.739084135332	0.223026731573	-0.110372210315	-0.105474051459	0.521652138659	0.545652258176	-0.200409685237
KO729932319 	-0.152791590848	0.772141028312	0.226928110487	0.541944209981	0.363008020808	-0.0947013392264	-0.319461325067	0.28288186395	0.805848338027	0.800956173208	-0.239439372967	-0.0484874528296	0.189799459718	-0.219638098811	-0.245149967517	0.0588786127315	-0.0817898531278	-0.230562037464	0.415357963892	0.00267444076279
KO784555005 	-0.362685315299	0.323769274467	0.173917413187	0.106869476222	0.129501203583	-0.285259464665	-0.396888815018	0.0922665527056	0.37001160655	0.267954587502	-0.363375888611	0.0933615639187	-0.246571165005	0.585723945326	-0.0541508997845	-0.31760532363	-0.266017770534	0.0058944020272	0.363422180662	-0.243839049819
KO46 88 8 00	0.0376722719075	-0.315165441772	0.177517124052	-0.187942814342	0.426245244194	-0.0165891132752	-0.324499015786	0.616224522346	-0.296421477334	0.441982395808	-0.252773763976	0.660447052359	0.251180310749	0.140454169526	-0.265596035415	0.0630951590293	-0.201644920564	-0.346817226039	-0.286061035904	0.0227020206831
KO 238203334	-0.25607826541	0.413545715944	-0.175764907333	0.592848462195	-0.00677625049707	-0.181120366398	-0.291520789378	-0.383317674736	0.341731256275	-0.0894632457123	0.52660235745	-0.343305511586	-0.472906123797	-0.35461416815	0.458369754821	0.15296080543	0.547465601669	0.340275937614	-0.146884707301	-0.207063037404
KO4370074643	-0.262420953887	0.124260917197	-0.0400529811928	-0.0797779656613	-0.0814340481661	-0.222603123424	-0.138146079764	0.0327745007183	0.153812960916	0.0464035371015	-0.363568936233	-0.0413138569422	-0.299653862084	0.61377815977	-0.0428693166538	-0.406360092816	-0.311240536122	0.00427123498727	0.248454221191	-0.206442496833
KO8796211064	-0.0613610802221	-0.265710527182	0.474200228953	-0.251056604946	0.668445243944	-0.167440140584	-0.225348436414	-0.0473666382143	-0.220830133207	-0.209440434075	-0.201138049039	0.544032612256	-0.333838633361	0.39307425663	-0.142382600219	-0.342765097567	-0.210822317038	-0.241705722861	-0.246162435489	-0.175716416614
KO 07082 398	-0.00388939376525	-0.223615816968	0.520976835517	-0.246939859094	0.710451140959	-0.170385659078	0.0471668103984	-0.20158467147	-0.223002670183	-0.224501390749	-0.183245288711	0.546676958164	-0.324082167877	0.135605575319	-0.212975714099	-0.306869599981	-0.192998128247	-0.119365807475	-0.259570086863	-0.182665645065
