SP	SP3055112169	SP 1 442 53 	SP0960017630	SP4180717139	SP8 7183  6 	SP6 7  75  8	SP671913610 	SP9089025596	SP9746508 31	SP 291214979	SP 77 7 7853	SP965 3902 0	SP77  231804	SP0024330203	SP4473411312	SP  4298 6  	SP 85356 19 	SP 15448328 	SP8947578506	SP509 5862 2
KO23 8073 09	0.99336692972	0.615733044509	0.537060523041	0.041222729388	0.714917725392	0.895106971981	0.667975013421	0.600049760791	0.973790681798	0.542112222664	6.57280772653e-07	0.979077074812	0.413300786758	0.55112123875	0.000261515471701	0.0750080105416	1.39326504963e-05	0.648120658146	0.476836494655	0.853573601684
KO56 03 1332	0.704928050084	0.650972754025	0.701847772778	0.0187141315279	0.826069860663	0.565124210871	0.777229637817	0.590970668463	0.867173404003	0.791600025311	6.19670226727e-05	0.753111834709	0.36759867168	0.65345384664	0.000181327786303	0.0494253848593	7.64604602918e-06	0.56600614063	0.525555326332	0.560884237799
KO55 1286874	0.527344829823	0.67703433563	0.226345245348	0.592486206988	0.753147138856	0.602294609566	0.697700933285	0.460963928545	0.752417013355	0.526392507396	0.794588690325	0.166072793335	0.661513894333	0.014591967857	0.535680512215	0.76148057274	0.771825183184	0.121992282322	0.10278244307	0.578791314716
KO729932319 	0.673462435595	0.00886498351377	0.528377666235	0.105616035463	0.302545956155	0.794688719267	0.368236010131	0.428381729763	0.00488204425687	0.00535903351549	0.50523610438	0.89418271076	0.599449781497	0.542056235577	0.494817694067	0.871648605977	0.822276768258	0.521612128807	0.232597882393	0.994149702677
KO784555005 	0.303008153346	0.36144458759	0.630855723626	0.768874760769	0.721419333438	0.424340962855	0.256123692847	0.799876385866	0.292607381204	0.454152721293	0.302019531161	0.797542421313	0.492239203241	0.07520635134	0.881891644259	0.37118133594	0.457546538607	0.987106443545	0.301953320898	0.497201194144
KO46 88 8 00	0.917708759222	0.37507088842	0.623688487549	0.603091870951	0.219325537606	0.96372129966	0.360300407365	0.0578038642166	0.405611263522	0.200925870736	0.48105359127	0.0376506825307	0.483916589288	0.698746206566	0.458287031824	0.862527488551	0.576403766897	0.326193821054	0.422982701823	0.950364916045
KO 238203334	0.475139875	0.234850139478	0.627173747835	0.0708718691911	0.985177632657	0.616542579592	0.413785448765	0.27421491429	0.333813746579	0.805857968003	0.117860755827	0.331445457827	0.167478919346	0.314689377463	0.182754372007	0.673117629831	0.101414429273	0.33601082216	0.685532731889	0.565975411517
KO4370074643	0.463879074826	0.732337625767	0.91252452544	0.826592165512	0.82303964285	0.53647587982	0.703506896188	0.928382741687	0.671382041044	0.898710555761	0.301743471294	0.909780033624	0.400262250433	0.0590902365649	0.906395520526	0.243900899591	0.381369676721	0.990656843918	0.488831643391	0.567166101814
KO8796211064	0.866276886779	0.458085951284	0.166157384455	0.484139162457	0.034602347625	0.64382207189	0.531329716708	0.896617635508	0.539809981391	0.56142256689	0.577383034506	0.104014146893	0.345817630219	0.261140219281	0.694775835815	0.332257470925	0.558782704432	0.501090384525	0.492980175128	0.627270293532
KO 07082 398	0.991492079842	0.534575232754	0.122562781102	0.491571219329	0.0213023446871	0.637914690121	0.897051835603	0.57652013443	0.535725677235	0.532915393088	0.612341960545	0.102007968481	0.360953771748	0.708757706112	0.554678616496	0.388444657345	0.593193864988	0.742575983762	0.468925759806	0.61348681817
