SP	SP3055112169	SP 1 442 53 	SP0960017630	SP4180717139	SP8 7183  6 	SP6 7  75  8	SP671913610 	SP9089025596	SP9746508 31	SP 291214979	SP 77 7 7853	SP965 3902 0	SP77  231804	SP0024330203	SP4473411312	SP  4298 6  	SP 85356 19 	SP 15448328 	SP8947578506	SP509 5862 2
SP3055112169	0.0	3.26811943703	2.96469220775	3.13425676174	2.39899986677	0.558145511874	2.76311620565	4.19710773744	3.38265542463	6.16939292711	2.37807158244	3.53420697604	3.85530596176	4.12809097958	3.05324440689	4.12450266951	3.07229829188	6.18140632349	2.40490616184	0.649874425546
SP 1 442 53 	1.89468082087	0.0	2.63911966969	1.74539862662	3.09965967947	1.72352621418	3.55005802179	2.84691918379	0.724397301456	2.30662418432	3.29428481062	3.44938973739	2.59242948073	3.76549064966	3.29078613843	3.09123733349	3.24074357078	1.63064206892	0.953281578754	1.50349857889
SP0960017630	6.10690487385	1.73675489568	0.0	1.9487935489	0.468659851181	7.40381118538	5.27205116981	4.94221537281	1.04222184079	3.56119886327	3.1425723555	1.35456089889	3.77721664158	2.24498669529	2.63975446261	2.62823481647	2.60802996741	2.17820720326	1.80478214745	6.68197665018
SP4180717139	4.09256122727	1.88386658097	3.14420652124	0.0	2.07487903836	5.20868219955	4.56544136948	2.62637164293	0.699647650582	0.943129194994	1.16959752025	3.42091759828	2.95601017674	5.94761122486	2.38753975668	1.38286525331	0.526087053438	7.22719751281	3.88545953288	4.36676864877
SP8 7183  6 	inf	inf	inf	inf	0.0	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
SP6 7  75  8	1.26969536202	5.45842331992	6.2898895339	6.63441692781	7.01170262586	0.0	5.3234385459	2.45505263629	7.58470588403	5.35236300146	5.57251283384	5.4224905799	2.98500626378	5.60257323749	6.16481766501	4.94304780243	6.30557224993	4.55275890451	4.83622602263	0.466881748188
SP671913610 	2.01511891224	3.78556401884	4.28970709526	3.77621742059	4.54531703417	2.7122703562	0.0	3.39617794848	4.13848765468	4.86295366255	2.7314184754	5.49949788309	2.14628724974	6.24518947576	4.47341758588	2.42686614953	2.97437697666	5.85528865991	5.24832667886	2.7925763388
SP9089025596	1.37082168787	4.35819511648	2.82790187194	3.26169190579	3.60901699293	1.30602785832	4.2512884377	0.0	4.67410436011	1.77146816605	2.82229163982	1.31607653502	1.04800323151	1.67856698443	2.49173282927	1.72182174696	2.88427252941	4.91262640878	2.40169443965	1.0520802213
SP9746508 31	3.14065068992	1.0697646115	2.41916749063	0.724350649868	3.37987628329	3.41579641613	3.60805284707	3.64391000762	0.0	2.4614357697	1.58755063906	3.95454921654	2.24240886864	5.01201904926	2.42677049146	1.6733236542	1.35164431237	5.07827489481	1.68213657185	2.86881965331
SP 291214979	3.7617774397	1.93931646517	4.47008254062	1.65368730692	3.92447675219	3.74061412519	5.00305993247	1.55383171233	1.15982671763	0.0	3.80221182992	5.10780665168	1.72076113583	7.12305949128	5.15375382668	2.03057488945	3.09357818138	8.1687057457	4.28526625756	2.98477232033
