SP	SP3055112169	SP 1 442 53 	SP0960017630	SP4180717139	SP8 7183  6 	SP6 7  75  8	SP671913610 	SP9089025596	SP9746508 31	SP 291214979	SP 77 7 7853	SP965 3902 0	SP77  231804	SP0024330203	SP4473411312	SP  4298 6  	SP 85356 19 	SP 15448328 	SP8947578506	SP509 5862 2
SP3055112169	0.0	0.851474323758	0.880363474366	0.889404985889	0.885576957283	0.290906018501	0.794045554234	0.58643067424	0.891717529117	0.954830839126	0.834428521863	0.87647465236	0.54546983076	0.888331422575	0.909599915882	0.879158429822	0.914963711237	0.975336593208	0.59483513373	0.211933517145
SP 1 442 53 	0.851474323758	0.0	0.642710109773	0.766008803067	0.558166975241	0.800656370101	0.829637556652	0.871281096488	0.289437914768	0.613768200509	0.822043494074	0.955555218585	0.83699729405	0.944109769278	0.908139286477	0.891079425542	0.867465479858	0.864606907409	0.571050104698	0.784994705981
SP0960017630	0.880363474366	0.642710109773	0.0	0.873563316032	0.273088984434	0.969571289667	0.75502740298	0.901873256699	0.61377064053	0.813170873223	0.893432320442	0.416042995877	0.76165805441	0.572680962968	0.879908722997	0.887400731908	0.843622998129	0.757429250617	0.429498308515	0.944770811639
SP4180717139	0.889404985889	0.766008803067	0.873563316032	0.0	0.885627524066	0.980430657175	0.948084213232	0.923361686193	0.578842496151	0.745132092434	0.77959525414	0.870253003403	0.906580228444	0.944263665946	0.63543754175	0.446385151564	0.669289362003	0.995423962151	0.901604470203	0.838287020753
SP8 7183  6 	0.885576957283	0.558166975241	0.273088984434	0.885627524066	0.0	0.965380364265	0.963245535758	0.934317787644	0.567827242114	0.760936256186	0.96337235008	0.575300661997	0.93702261677	0.774488037056	0.980385391981	0.971601946127	0.913651167739	0.971053681869	0.591330477591	0.933031862543
SP6 7  75  8	0.290906018501	0.800656370101	0.969571289667	0.980430657175	0.965380364265	0.0	0.890745715372	0.604467452212	0.962077097069	0.963998816022	0.842628591089	0.989604847528	0.553425561484	0.980312032164	0.971473053222	0.96119455442	0.982534998628	0.966903054648	0.609996871633	0.178670076409
SP671913610 	0.794045554234	0.829637556652	0.75502740298	0.948084213232	0.963245535758	0.890745715372	0.0	0.879636758225	0.898163659063	0.963649044729	0.823655396263	0.941163198168	0.627093369459	0.942587211662	0.911252637183	0.869304356868	0.878941822417	0.928504351809	0.889908101613	0.913676239151
SP9089025596	0.58643067424	0.871281096488	0.901873256699	0.923361686193	0.934317787644	0.604467452212	0.879636758225	0.0	0.929514019624	0.57213740458	0.869618237022	0.634111911438	0.344651609317	0.716588628111	0.865283647074	0.84293476567	0.878617009877	0.964326390916	0.654231324432	0.590881132384
SP9746508 31	0.891717529117	0.289437914768	0.61377064053	0.578842496151	0.567827242114	0.962077097069	0.898163659063	0.929514019624	0.0	0.568818161754	0.776658628061	0.926209140897	0.882261677214	0.974674873324	0.822638155711	0.639959933867	0.741881382463	0.984353823764	0.599004264523	0.887713864607
SP 291214979	0.954830839126	0.613768200509	0.813170873223	0.745132092434	0.760936256186	0.963998816022	0.963649044729	0.57213740458	0.568818161754	0.0	0.95259391771	0.657767987709	0.612023104806	0.946700009583	0.966102289675	0.778469389728	0.786251218424	0.989593013879	0.786985589737	0.840076267652
