SP	SP3055112169	SP 1 442 53 	SP0960017630	SP4180717139	SP8 7183  6 	SP6 7  75  8	SP671913610 	SP9089025596	SP9746508 31	SP 291214979	SP 77 7 7853	SP965 3902 0	SP77  231804	SP0024330203	SP4473411312	SP  4298 6  	SP 85356 19 	SP 15448328 	SP8947578506	SP509 5862 2
SP3055112169	1.0	0.127272727273	-0.127272727273	0.284848484848	-0.0787878787879	-0.0181818181818	0.2	0.00606060606061	0.139393939394	-0.248484848485	0.0666666666667	-0.248484848485	-0.115151515152	-0.321212121212	0.0424242424242	0.00606060606061	-0.272727272727	-0.10303030303	0.357575757576	0.0181818181818
SP 1 442 53 	0.127272727273	1.0	0.0666666666667	0.0787878787879	0.0666666666667	-0.0666666666667	-0.10303030303	-0.430303030303	0.551515151515	0.151515151515	0.0909090909091	-0.393939393939	0.0545454545455	-0.50303030303	-0.175757575758	0.163636363636	-0.0666666666667	0.539393939394	0.224242424242	0.442424242424
SP0960017630	-0.127272727273	0.0666666666667	1.0	0.151515151515	0.660606060606	-0.709090909091	-0.539393939394	-0.127272727273	0.260606060606	-0.0666666666667	0.127272727273	0.648484848485	-0.418181818182	0.224242424242	0.163636363636	-0.187878787879	0.248484848485	-0.0666666666667	0.575757575758	0.212121212121
SP4180717139	0.284848484848	0.0787878787879	0.151515151515	1.0	-0.272727272727	-0.139393939394	-0.224242424242	0.187878787879	0.490909090909	0.6	0.10303030303	0.139393939394	-0.00606060606061	-0.333333333333	0.0787878787879	0.551515151515	0.636363636364	-0.587878787879	0.0909090909091	0.369696969697
SP8 7183  6 	-0.0787878787879	0.0666666666667	0.660606060606	-0.272727272727	1.0	-0.357575757576	-0.030303030303	-0.406060606061	-0.187878787879	-0.260606060606	-0.224242424242	0.151515151515	-0.272727272727	0.00606060606061	-0.333333333333	-0.672727272727	-0.224242424242	0.248484848485	0.260606060606	0.0545454545455
SP6 7  75  8	-0.0181818181818	-0.0666666666667	-0.709090909091	-0.139393939394	-0.357575757576	1.0	0.357575757576	0.321212121212	-0.515151515152	0.139393939394	0.187878787879	-0.418181818182	0.224242424242	-0.115151515152	-0.0181818181818	-0.0424242424242	-0.393939393939	0.0181818181818	-0.575757575758	0.260606060606
SP671913610 	0.2	-0.10303030303	-0.539393939394	-0.224242424242	-0.030303030303	0.357575757576	1.0	-0.478787878788	-0.151515151515	-0.139393939394	0.115151515152	-0.781818181818	0.0787878787879	-0.515151515152	-0.612121212121	0.0424242424242	-0.0909090909091	0.272727272727	-0.539393939394	-0.490909090909
SP9089025596	0.00606060606061	-0.430303030303	-0.127272727273	0.187878787879	-0.406060606061	0.321212121212	-0.478787878788	1.0	-0.163636363636	0.357575757576	0.139393939394	0.381818181818	0.321212121212	0.309090909091	0.490909090909	0.10303030303	-0.187878787879	-0.563636363636	0.260606060606	0.442424242424
SP9746508 31	0.139393939394	0.551515151515	0.260606060606	0.490909090909	-0.187878787879	-0.515151515152	-0.151515151515	-0.163636363636	1.0	0.490909090909	0.29696969697	-0.163636363636	0.224242424242	-0.563636363636	-0.163636363636	0.69696969697	0.478787878788	0.0787878787879	0.490909090909	0.248484848485
SP 291214979	-0.248484848485	0.151515151515	-0.0666666666667	0.6	-0.260606060606	0.139393939394	-0.139393939394	0.357575757576	0.490909090909	1.0	0.139393939394	-0.175757575758	0.515151515152	-0.515151515152	-0.224242424242	0.527272727273	0.369696969697	-0.357575757576	0.0424242424242	0.563636363636
SP 77 7 7853	0.0666666666667	0.0909090909091	0.127272727273	0.10303030303	-0.224242424242	0.187878787879	0.115151515152	0.139393939394	0.29696969697	0.139393939394	1.0	-0.0424242424242	-0.224242424242	-0.163636363636	0.260606060606	0.393939393939	0.0666666666667	-0.030303030303	0.127272727273	0.236363636364
