SP	SP3055112169	SP 1 442 53 	SP0960017630	SP4180717139	SP8 7183  6 	SP6 7  75  8	SP671913610 	SP9089025596	SP9746508 31	SP 291214979	SP 77 7 7853	SP965 3902 0	SP77  231804	SP0024330203	SP4473411312	SP  4298 6  	SP 85356 19 	SP 15448328 	SP8947578506	SP509 5862 2
SP3055112169	0.0	0.726057014763	0.726057014763	0.425038154892	0.828717394697	0.960240418129	0.579584	0.986742911195	0.70093188491	0.488776304519	0.854813088249	0.488776304519	0.751419652326	0.365468310439	0.907363817813	0.986742911195	0.445838341543	0.776998463444	0.310376091706	0.960240418129
SP 1 442 53 	0.726057014763	0.0	0.854813088249	0.828717394697	0.854813088249	0.854813088249	0.776998463444	0.214492332533	0.0984011766696	0.676065175998	0.802771731207	0.259997766835	0.881036181162	0.138333698394	0.627188344776	0.651477342796	0.854813088249	0.107593187782	0.533400561273	0.200422686712
SP0960017630	0.726057014763	0.854813088249	0.0	0.676065175998	0.0375883775714	0.0216659233675	0.107593187782	0.726057014763	0.467089054386	0.854813088249	0.726057014763	0.0425401276845	0.229112840983	0.533400561273	0.651477342796	0.603217610029	0.488776304519	0.854813088249	0.0815528147726	0.556305775103
SP4180717139	0.425038154892	0.828717394697	0.676065175998	0.0	0.445838341543	0.70093188491	0.533400561273	0.603217610029	0.149655673421	0.066688	0.776998463444	0.70093188491	0.986742911195	0.346593507087	0.828717394697	0.0984011766696	0.04791172613	0.0738777068887	0.802771731207	0.293050075293
SP8 7183  6 	0.828717394697	0.854813088249	0.0375883775714	0.445838341543	0.0	0.310376091706	0.933772958094	0.244282294087	0.603217610029	0.467089054386	0.533400561273	0.676065175998	0.445838341543	0.986742911195	0.346593507087	0.0330412225454	0.533400561273	0.488776304519	0.467089054386	0.881036181162
SP6 7  75  8	0.960240418129	0.854813088249	0.0216659233675	0.70093188491	0.310376091706	0.0	0.310376091706	0.365468310439	0.127552869703	0.70093188491	0.603217610029	0.229112840983	0.533400561273	0.751419652326	0.960240418129	0.907363817813	0.259997766835	0.960240418129	0.0815528147726	0.467089054386
SP671913610 	0.579584	0.776998463444	0.107593187782	0.533400561273	0.933772958094	0.310376091706	0.0	0.161522928017	0.676065175998	0.70093188491	0.751419652326	0.00754700778107	0.828717394697	0.127552869703	0.0599721424773	0.907363817813	0.802771731207	0.445838341543	0.107593187782	0.149655673421
SP9089025596	0.986742911195	0.214492332533	0.726057014763	0.603217610029	0.244282294087	0.365468310439	0.161522928017	0.0	0.651477342796	0.310376091706	0.70093188491	0.276255333385	0.365468310439	0.384841230261	0.149655673421	0.776998463444	0.603217610029	0.0897240283171	0.467089054386	0.200422686712
SP9746508 31	0.70093188491	0.0984011766696	0.467089054386	0.149655673421	0.603217610029	0.127552869703	0.676065175998	0.651477342796	0.0	0.149655673421	0.40470167127	0.651477342796	0.533400561273	0.0897240283171	0.651477342796	0.0250966758823	0.161522928017	0.828717394697	0.149655673421	0.488776304519
SP 291214979	0.488776304519	0.676065175998	0.854813088249	0.066688	0.467089054386	0.70093188491	0.70093188491	0.310376091706	0.149655673421	0.0	0.70093188491	0.627188344776	0.127552869703	0.127552869703	0.533400561273	0.11730806555	0.293050075293	0.310376091706	0.907363817813	0.0897240283171
SP 77 7 7853	0.854813088249	0.802771731207	0.726057014763	0.776998463444	0.533400561273	0.603217610029	0.751419652326	0.70093188491	0.40470167127	0.70093188491	0.0	0.907363817813	0.533400561273	0.651477342796	0.467089054386	0.259997766835	0.854813088249	0.933772958094	0.726057014763	0.510885317515
SP965 3902 0	0.488776304519	0.259997766835	0.0425401276845	0.70093188491	0.676065175998	0.229112840983	0.00754700778107	0.276255333385	0.651477342796	0.627188344776	0.907363817813	0.0	0.259997766835	0.0060999233137	0.0375883775714	0.651477342796	0.488776304519	0.229112840983	0.40470167127	0.828717394697
SP77  231804	0.751419652326	0.881036181162	0.229112840983	0.986742911195	0.445838341543	0.533400561273	0.828717394697	0.365468310439	0.533400561273	0.127552869703	0.533400561273	0.259997766835	0.0	0.200422686712	0.107593187782	0.244282294087	0.986742911195	0.488776304519	0.907363817813	0.384841230261
SP0024330203	0.365468310439	0.138333698394	0.533400561273	0.346593507087	0.986742911195	0.751419652326	0.127552869703	0.384841230261	0.0897240283171	0.127552869703	0.651477342796	0.0060999233137	0.200422686712	0.0	0.0185731550895	0.229112840983	0.776998463444	0.488776304519	0.933772958094	0.445838341543
SP4473411312	0.907363817813	0.627188344776	0.651477342796	0.828717394697	0.346593507087	0.960240418129	0.0599721424773	0.149655673421	0.651477342796	0.533400561273	0.467089054386	0.0375883775714	0.107593187782	0.0185731550895	0.0	0.776998463444	0.776998463444	0.149655673421	0.556305775103	0.881036181162
SP  4298 6  	0.986742911195	0.651477342796	0.603217610029	0.0984011766696	0.0330412225454	0.907363817813	0.907363817813	0.776998463444	0.0250966758823	0.11730806555	0.259997766835	0.651477342796	0.244282294087	0.229112840983	0.776998463444	0.0	0.0288827975067	0.933772958094	0.907363817813	0.676065175998
SP 85356 19 	0.445838341543	0.854813088249	0.488776304519	0.04791172613	0.533400561273	0.259997766835	0.802771731207	0.603217610029	0.161522928017	0.293050075293	0.854813088249	0.488776304519	0.986742911195	0.776998463444	0.776998463444	0.0288827975067	0.0	0.556305775103	0.556305775103	0.802771731207
SP 15448328 	0.776998463444	0.107593187782	0.854813088249	0.0738777068887	0.488776304519	0.960240418129	0.445838341543	0.0897240283171	0.828717394697	0.310376091706	0.933772958094	0.229112840983	0.488776304519	0.488776304519	0.149655673421	0.933772958094	0.556305775103	0.0	0.881036181162	0.960240418129
SP8947578506	0.310376091706	0.533400561273	0.0815528147726	0.802771731207	0.467089054386	0.0815528147726	0.107593187782	0.467089054386	0.149655673421	0.907363817813	0.726057014763	0.40470167127	0.907363817813	0.933772958094	0.556305775103	0.907363817813	0.556305775103	0.881036181162	0.0	0.310376091706
SP509 5862 2	0.960240418129	0.200422686712	0.556305775103	0.293050075293	0.881036181162	0.467089054386	0.149655673421	0.200422686712	0.488776304519	0.0897240283171	0.510885317515	0.828717394697	0.384841230261	0.445838341543	0.881036181162	0.676065175998	0.802771731207	0.960240418129	0.310376091706	0.0
